Plant Name,Soil Type,pH Level,Climate,Irrigation Type,Organic Matter %,Fertilizer Type
Blackberry,Loamy,6.5,Temperate,Drip,3.1,NPK 20-15-15
Cleome,Loamy,6.0,Tropical,Drip,2.7,NPK 15-10-10
Climbing Rose,Loamy,6.5,Temperate,Drip,3.0,NPK 25-15-15
Mandevilla,Loamy,6.0,Tropical,Drip,3.4,NPK 20-10-10
Mung Bean,Loamy,6.5,Tropical,Drip,4.0,NPK 15-10-10
Lupin,Loamy,6.2,Temperate,Surface,4.2,NPK 20-10-10
Cowpea,Loamy,6.0,Tropical,Drip,3.5,NPK 20-10-10
Sesbania,Loamy,6.5,Tropical,Drip,5.0,NPK 15-10-10
Clover,Loamy,6.0,Temperate,Surface,5.5,NPK 10-10-10
Alfalfa,Loamy,6.5,Temperate,Surface,4.5,NPK 20-15-10
Vetch,Loamy,6.2,Temperate,Surface,4.0,NPK 10-10-10
Buckwheat,Loamy,6.0,Tropical,Drip,4.3,NPK 25-15-15
Ryegrass,Loamy,6.5,Temperate,Surface,3.8,NPK 15-10-10
Sorghum,Loamy,6.0,Tropical,Drip,4.0,NPK 20-15-15
Crimson Clover,Loamy,6.2,Temperate,Surface,5.0,NPK 20-10-10
Phacelia,Loamy,6.5,Tropical,Surface,4.2,NPK 20-15-15
Sunflower,Loamy,6.0,Tropical,Drip,4.5,NPK 25-20-15
Radish,Loamy,6.5,Temperate,Surface,3.5,NPK 15-10-10
Soybean,Loamy,6.0,Tropical,Drip,4.0,NPK 20-10-10
Mustard,Loamy,6.0,Temperate,Surface,4.5,NPK 20-10-10
Faba Bean,Loamy,6.5,Temperate,Surface,4.8,NPK 15-10-10
Triticale,Loamy,6.3,Temperate,Surface,4.2,NPK 15-10-10
Tare,Loamy,6.5,Temperate,Surface,4.0,NPK 10-10-10
Indian Mustard,Loamy,6.2,Tropical,Drip,4.5,NPK 20-15-15
Teff,Loamy,6.0,Tropical,Drip,3.8,NPK 20-10-10
Cabbage,Loamy,6.5,Temperate,Surface,3.7,NPK 10-10-10
Oats,Loamy,6.2,Temperate,Surface,4.0,NPK 15-10-10
Berseem,Loamy,6.5,Tropical,Surface,5.0,NPK 15-15-15
Chickpea,Loamy,6.0,Tropical,Drip,4.3,NPK 20-10-10
Barley,Loamy,6.2,Temperate,Surface,3.9,NPK 15-10-10
Fenugreek,Loamy,6.0,Tropical,Drip,4.1,NPK 10-10-10
Peas,Loamy,6.5,Temperate,Surface,4.0,NPK 20-10-10
Aloe Vera,Sandy Loam,6.5,Arid,Drip,2.0,NPK 10-40-10
Jade Plant,Sandy,6.2,Subtropical,Drip,1.8,NPK 20-20-20
Echeveria,Sandy,6.0,Arid,Drip,1.5,NPK 10-10-10
Sedum,Sandy Loam,6.3,Temperate,Drip,1.7,NPK 5-10-10
Haworthia,Sandy,6.2,Arid,Drip,1.6,NPK 10-15-10
Agave,Sandy Loam,6.5,Arid,Drip,2.2,NPK 5-10-10
Crassula ovata,Sandy,6.0,Subtropical,Drip,1.9,NPK 15-15-15
Kalanchoe,Sandy Loam,6.1,Subtropical,Drip,1.8,NPK 10-20-10
Sempervivum,Sandy,6.0,Temperate,Drip,1.5,NPK 10-10-10
Graptopetalum,Sandy,6.3,Arid,Drip,1.6,NPK 10-20-10
Aeonium,Sandy Loam,6.4,Mediterranean,Drip,1.7,NPK 10-10-10
Pachyphytum,Sandy,6.2,Arid,Drip,1.4,NPK 10-10-10
Adromischus,Sandy,6.0,Arid,Drip,1.5,NPK 5-5-5
Lithops,Sandy,6.5,Arid,Drip,1.3,NPK 2-7-7
Gasteria,Sandy Loam,6.1,Subtropical,Drip,1.8,NPK 10-15-10
Stapelia,Sandy,6.3,Arid,Drip,1.5,NPK 5-10-10
Euphorbia milli,Sandy Loam,6.4,Tropical,Drip,1.7,NPK 10-10-10
Portulaca,Sandy,6.2,Tropical,Drip,1.9,NPK 15-15-15
Cotyledon orbiculata,Sandy,6.1,Arid,Drip,1.6,NPK 10-20-10
Senecio rowleyanus,Sandy,6.2,Arid,Drip,1.5,NPK 5-5-5
Ceropegia woodii,Sandy Loam,6.3,Subtropical,Drip,1.7,NPK 10-10-10
Opuntia (Prickly Pear),Sandy,6.5,Arid,Drip,2.0,NPK 5-10-10
Ferocactus,Sandy,6.2,Arid,Drip,1.4,NPK 5-5-5
Astrophytum,Sandy,6.0,Arid,Drip,1.3,NPK 10-10-10
Rebutia,Sandy,6.2,Arid,Drip,1.4,NPK 5-5-5
Gymnocalycium,Sandy,6.3,Arid,Drip,1.4,NPK 5-5-10
Parodia,Sandy,6.2,Arid,Drip,1.3,NPK 10-15-10
Notocactus,Sandy,6.0,Arid,Drip,1.3,NPK 10-10-10
Mammillaria,Sandy,6.1,Arid,Drip,1.4,NPK 5-5-10
Water Lily,Loamy,6.0,Tropical,Submerged,10,NPK 20-10-10
Lotus,Loamy,6.5,Tropical,Submerged,12,NPK 25-15-15
Water Hyacinth,Loamy,6.0,Tropical,Submerged,15,NPK 30-10-10
Hornwort,Loamy,6.5,Tropical,Submerged,8,NPK 10-5-5
Duckweed,Loamy,6.2,Tropical,Submerged,20,NPK 15-10-10
Water Lettuce,Loamy,6.0,Tropical,Submerged,18,NPK 20-10-10
Cattail,Loamy,6.3,Tropical,Submerged,25,NPK 25-15-15
Water Mint,Loamy,6.5,Tropical,Submerged,12,NPK 20-10-10
Pondweed,Loamy,6.0,Tropical,Submerged,15,NPK 10-10-10
Anubias,Loamy,6.5,Tropical,Submerged,10,NPK 20-15-15
Java Fern,Loamy,6.2,Tropical,Submerged,8,NPK 15-10-10
Cryptocoryne,Loamy,6.5,Tropical,Submerged,12,NPK 20-10-10
Water Sage,Loamy,6.4,Tropical,Submerged,18,NPK 25-15-15
Water Grass,Loamy,6.2,Tropical,Submerged,10,NPK 10-10-10
Saggitaria,Loamy,6.0,Tropical,Submerged,15,NPK 15-10-10
Lobelia,Loamy,6.5,Tropical,Submerged,12,NPK 20-15-15
Dwarf Red Lily,Loamy,6.0,Tropical,Submerged,10,NPK 25-10-10
Egeria,Loamy,6.5,Tropical,Submerged,18,NPK 20-10-10
Pothos,Loamy,6.0,Tropical,Submerged,14,NPK 15-10-10
Floating Hearts,Loamy,6.2,Tropical,Submerged,20,NPK 25-10-10
Water Poppy,Loamy,6.0,Tropical,Submerged,16,NPK 30-15-15
Maranta (Arrowhead),Loamy,6.3,Tropical,Submerged,12,NPK 20-10-10
Water Clover,Loamy,6.4,Tropical,Submerged,15,NPK 15-10-10
Taro,Loamy,6.5,Tropical,Submerged,18,NPK 25-15-15
Bulrush,Loamy,6.0,Tropical,Submerged,14,NPK 20-15-15
Water Iris,Loamy,6.5,Tropical,Submerged,20,NPK 30-10-10
Pickerel Weed,Loamy,6.3,Tropical,Submerged,10,NPK 25-10-10
Boston Fern,Loamy,6.0,Tropical,Drip,20,NPK 10-10-10
Maidenhair Fern,Loamy,6.5,Tropical,Drip,18,NPK 15-10-10
Staghorn Fern,Loamy,6.2,Tropical,Drip,25,NPK 20-15-15
Bird's Nest Fern,Loamy,6.0,Tropical,Drip,22,NPK 10-15-15
Asparagus Fern,Loamy,6.0,Subtropical,Drip,20,NPK 15-10-10
Lady Fern,Loamy,6.5,Temperate,Drip,18,NPK 20-15-15
Sword Fern,Loamy,6.0,Temperate,Drip,23,NPK 10-10-10
Cinnamon Fern,Loamy,6.5,Tropical,Drip,20,NPK 25-15-15
Bracken Fern,Loamy,6.3,Tropical,Drip,25,NPK 20-10-10
Button Fern,Loamy,6.5,Tropical,Drip,20,NPK 15-10-10
Royal Fern,Loamy,6.2,Tropical,Drip,18,NPK 10-15-15
Maidenhair Spleenwort,Loamy,6.3,Tropical,Drip,19,NPK 20-15-15
Kangaroo Paw Fern,Loamy,6.0,Tropical,Drip,22,NPK 20-10-10
Holly Fern,Loamy,6.5,Tropical,Drip,18,NPK 15-10-10
Japanese Painted Fern,Loamy,6.0,Temperate,Drip,17,NPK 10-10-10
Boston Sword Fern,Loamy,6.5,Temperate,Drip,20,NPK 15-10-10
Tree Fern,Loamy,6.0,Tropical,Drip,20,NPK 25-20-15
Water Fern,Loamy,6.3,Tropical,Drip,25,NPK 20-15-15
Adiantum Fern,Loamy,6.2,Tropical,Drip,18,NPK 10-15-15
Bird's Foot Fern,Loamy,6.0,Tropical,Drip,19,NPK 15-10-10
Hart's Tongue Fern,Loamy,6.5,Temperate,Drip,20,NPK 20-10-10
Lemon Button Fern,Loamy,6.3,Tropical,Drip,17,NPK 15-10-10
Resurrection Fern,Loamy,6.0,Tropical,Drip,22,NPK 10-15-15
Christmas Fern,Loamy,6.5,Temperate,Drip,21,NPK 20-10-10
Western Sword Fern,Loamy,6.2,Temperate,Drip,20,NPK 15-10-10
Harts Tongue Fern,Loamy,6.5,Tropical,Drip,20,NPK 10-15-15
Snake Plant,Well-drained Loamy,6.5,Subtropical,Drip,2.5,NPK 10-10-10
Peace Lily,Loamy,6.2,Tropical,Drip,3.5,NPK 20-10-10
Spider Plant,Loamy,6.5,Temperate,Drip,2.8,NPK 15-10-10
ZZ Plant,Sandy Loam,6.0,Tropical,Drip,2.0,NPK 10-10-10
Areca Palm,Loamy,6.3,Tropical,Drip,3.0,NPK 20-10-10
Pothos,Loamy,6.1,Tropical,Drip,3.2,NPK 15-10-10
Rubber Plant,Loamy,6.5,Tropical,Drip,3.0,NPK 20-20-20
Fiddle Leaf Fig,Loamy,6.3,Tropical,Drip,3.5,NPK 20-10-10
Chinese Evergreen,Loamy,6.4,Tropical,Drip,3.2,NPK 10-10-10
Dracaena,Well-drained Loamy,6.3,Tropical,Drip,2.7,NPK 10-15-10
Aloe Vera,Sandy Loam,6.5,Arid,Drip,2.0,NPK 10-40-10
Dieffenbachia,Loamy,6.5,Tropical,Drip,3.3,NPK 20-20-20
Philodendron,Loamy,6.2,Tropical,Drip,3.4,NPK 20-10-10
Calathea,Loamy,6.0,Tropical,Drip,3.5,NPK 15-10-15
Bamboo Palm,Loamy,6.5,Tropical,Drip,3.0,NPK 15-5-10
Monstera,Loamy,6.4,Tropical,Drip,3.5,NPK 20-10-10
Anthurium,Loamy,6.0,Tropical,Drip,3.2,NPK 15-10-10
Croton,Loamy,6.3,Tropical,Drip,3.1,NPK 20-10-10
Bird of Paradise,Loamy,6.5,Tropical,Drip,3.5,NPK 20-10-10
Oxalis,Loamy,6.2,Temperate,Drip,2.9,NPK 10-10-10
Prayer Plant,Loamy,6.0,Tropical,Drip,3.2,NPK 15-10-10
Peperomia,Loamy,6.4,Tropical,Drip,2.8,NPK 10-10-10
Kalanchoe,Sandy Loam,6.1,Subtropical,Drip,2.5,NPK 10-10-10
Begonia,Loamy,6.3,Subtropical,Drip,3.1,NPK 15-10-15
Coleus,Loamy,6.2,Tropical,Drip,2.9,NPK 20-20-20
Stromanthe,Loamy,6.1,Tropical,Drip,3.0,NPK 10-10-10
Aglaonema,Loamy,6.5,Tropical,Drip,3.3,NPK 15-10-10
Schefflera,Loamy,6.2,Tropical,Drip,3.0,NPK 20-10-10
Jade Plant,Sandy Loam,6.2,Subtropical,Drip,2.0,NPK 20-20-20
